habitaciones;baÒos;parqueaderos;area_construida_m2;area_privada_m2;estrato;estado;antig¸edad_aÒos;administracion;precio_m2;Ascensor;Circuito cerrado de TV;Parqueadero Visitantes;Porteria/ Recepcion;Zonas Verdes;Salon Comunal;Balcon;Barra estilo americano;Calentador;Chimenea;Citofono;Cocina Integral;Terraza;Vigilancia;Parques cercanos;Estudio;Patio;Deposito / Bodega;nombre;ubicacion;precio
2;1;1;63;63;4;No definida;mas de 30  ;†387.000 COP;†3.968.253,97  ;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;Apartamento;Cedro Golf;250000000
3;2;0;110;110;3;No definida;No definida;No definida;†2.181.818,18  ;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;Apartamento;La Aurora;240000000
5;3;1;200;160;4;Bueno;mas de 30  ;No definida;†3.500.000  ;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;Casa;Palermo;700000000
3;3;2;120;120;6;No definida;16 a 30  ;†688.000 COP;†5.666.666,67  ;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;Apartamento;Chico Norte;680000000
3;3;1;75;67;4;Bueno;9 a 15  ;†260.000 COP;†4.600.000  ;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;Apartamento;Villa alsacia;345000000
1;1;1;33;33;3;No definida;1 a 8  ;†220.000 COP;†7.272.727,27  ;1;0;1;1;0;0;1;1;0;0;1;0;1;1;0;0;0;0;Apartamento;Chapinero central;240000000
3;2;0;51;51;2;Excelente;9 a 15  ;†70.000 COP;†2.350.980,39  ;0;1;1;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0;Apartamento;Bosa San Diego;119900000
2;1;1;49;0;3;No definida;16 a 30  ;No definida;†5.918.367,35  ;0;1;0;1;1;1;0;0;1;0;0;1;0;1;0;0;0;0;Apartamento;Tabora;290000000
3;2;0;55;50;3;Excelente;9 a 15  ;†109.000 COP;†4.000.000  ;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;1;0;Apartamento;Zona Noroccidente;220000000
3;2;1;60;60;4;No definida;16 a 30  ;†291.000 COP;†5.666.666,67  ;1;0;1;1;0;0;1;0;1;0;1;1;0;0;0;1;0;0;Apartamento;Usaquen;340000000
2;1;1;52;52;4;Bueno;mas de 30  ;†207.000 COP;†4.038.461,54  ;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;Apartamento;Caobos salazar;210000000
2;2;1;61;0;4;Excelente;16 a 30  ;†217.000 COP;†5.573.770,49  ;1;0;0;1;0;1;0;0;1;0;1;1;0;1;1;1;0;0;Apartamento;Gran America;340000000
5;3;2;260;260;4;No definida;mas de 30  ;No definida;†3.807.692,31  ;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;Casa;Modelia;990000000
4;5;4;200;0;5;Excelente;1 a 8  ;†1.000.000 COP;†4.900.000  ;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;Apartamento;Cedritos;980000000
4;3;1;90;0;4;Bueno;mas de 30  ;†369.000 COP;†4.000.000  ;1;0;1;1;0;1;0;0;1;1;1;1;1;0;0;0;0;1;Apartamento;Cedro Golf;360000000
3;3;1;150;150;6;Bueno;mas de 30  ;†872.000 COP;†6.533.333,33  ;1;1;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;Apartamento;La Cabrera;980000000
3;2;1;70;70;4;Excelente;16 a 30  ;†211.000 COP;†4.028.571,43  ;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;Casa;El Redil;282000000
3;2;1;74;74;4;No definida;16 a 30  ;†285.000 COP;†4.189.189,19  ;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;Campanella;310000000
3;2;0;60;60;3;Bueno;9 a 15  ;†130.000 COP;†3.800.000  ;1;1;0;1;0;1;1;0;1;0;1;1;0;0;0;0;0;0;Apartamento;Primavera Occidental;228000000
8;5;0;500;0;3;Excelente;9 a 15  ;No definida;†3.400.000  ;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;Casa;Los Cerezos;1700000000
3;3;3;191;191;6;Excelente;mas de 30  ;†960.000 COP;†7.068.062,83  ;1;0;0;1;0;0;1;0;1;0;1;1;0;1;0;0;0;0;Apartamento;El Refugio;1350000000
2;2;1;67;57;4;No definida;16 a 30  ;†650.000 COP;†4.626.865,67  ;1;1;0;1;0;0;0;0;0;1;1;1;0;1;0;0;0;1;Apartamento;Bosque Calderon;310000000
4;4;2;136;128;4;Excelente;1 a 8  ;†410.000 COP;†6.250.000  ;1;1;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;Apartamento;Mazuren;850000000
2;3;2;94;94;4;Excelente;menor a 1 ;†530.000 COP;†5.851.063,83  ;1;1;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;Apartamento;Cedritos;550000000
3;2;1;78;78;4;No definida;1 a 8  ;†274.000 COP;†5.128.205,13  ;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;1;0;1;Apartamento;sabaneta;400000000
